category_scores,hotkey,last_submit,screener_passed,status,total_score
"{'Easy': 0.4120870673965005, 'Medium': 0.9895034777621001, 'Hard': 0.975568868287815}",5GsYoWcDVN9iuZKWuWcy453HVyoCS4D6vsznW9GWYo8Ue1QK,2026-06-15T08:35:07.657380Z,True,scored,0.9308406611354272
"{'Easy': 0.3605948072804548, 'Medium': 1.045718449052048, 'Hard': 0.7014695835564995}",5FqfEPFi937maZ9JvxVKF3GZTqPtwihayWsMzgwZeJahYuwA,2026-06-10T17:34:04.849195Z,True,scored,0.9298644147935526
"{'Easy': 0.6556164600959855, 'Medium': 0.9495235391182284, 'Hard': 0.9935187323598473}",5DZLFZj46PcVWstRzADK6PFs8eE9XhmHxXGuj72cbaGnC6VC,2026-06-14T21:04:37.362508Z,True,scored,0.9293035531093947
"{'Easy': 0.7482571709852968, 'Medium': 0.7207304894955495, 'Hard': 1.304477008766991}",5Eo7tJhBBv9xAtkCocyEQ8Nx7tpp4KoRzV58Aqoa9acSnwJc,2026-06-13T14:25:37.029583Z,True,scored,0.9280128441245576
"{'Easy': 1.0232711836731347, 'Medium': 0.646500197425028, 'Hard': 1.1019378227396839}",5Dt3utA2SbttmEUbtCCiWd5Aa3WXcGvkPb2xR6YnQH7QzRQw,2026-06-10T20:07:35.215811Z,True,scored,0.9219157056314051
"{'Easy': 0.5437734152230309, 'Medium': 0.9610409827075967, 'Hard': 1.1819858298763926}",5GWXUTu3rxJsfeBHnd8n32jrbEVWpbsbpejJEXYTT7YWxTbM,2026-06-16T01:23:39.598687Z,True,scored,0.9026366091499263
"{'Easy': 0.29097379835949777, 'Medium': 0.5168024862986913, 'Hard': 1.2655572370327874}",5GYSDvK3a7f1XH2fDxhL24i1dCr18vnJdQtVSiMUuYkiW6Xn,2026-06-10T21:32:48.825977Z,True,scored,0.9022081813067393
"{'Easy': 0.9240217586331578, 'Medium': 0.9160103520405256, 'Hard': 0.8644399778012648}",5CwZBKyLsnzK3fqmD56qNntvBAcBi7D4Ss2sc4u6xhjNJHDc,2026-06-08T18:17:36.259419Z,True,scored,0.9010400749088197
"{'Easy': 1.0471484522784635, 'Medium': 0.37610561851166047, 'Hard': 1.2390448836212258}",5CmLSfa3BT79PSn5JyddzLBimd8UeJZ9uz7k2qoCsAn37neq,2026-06-11T23:18:48.224759Z,True,scored,0.8842386754542897
"{'Easy': -0.1895131471230087, 'Medium': 0.8893495831866725, 'Hard': 1.275336307266115}",5G4Q4qLHPLosmExpoLzLj9YVf1WP1ATHGbdfgcLiRbq5HRxD,2026-06-08T20:18:43.589023Z,True,scored,0.8837587555655224
"{'Easy': 0.9248791298326307, 'Medium': 0.9804726911606094, 'Hard': 0.7252072012570094}",5EvEGExeSSwaEgofMNtaWABUkAmD1YFYQ6AbrsKPjfdn7vxa,2026-06-14T00:25:40.966903Z,True,scored,0.8758924849684329
