name,hotkey,task_id,task_name,is_screener,pass_without,pass_with,tokens_without,tokens_with,comp_ratio,platform_score,run_count
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,232,django__django-16100,False,True,True,664367,307494.6,2.161,0.46481218232435567,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,233,django__django-11603,False,True,True,782437,357566.2,2.188,1.9594840516347254,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,234,django__django-16139,True,True,True,542683,212359.2,2.555,1.4686276204441022,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,235,django__django-11951,False,True,True,1041765,366396,2.843,1.534415155681698,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,236,django__django-16255,False,True,True,647943,218648.4,2.963,1.542682378386563,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,237,django__django-12308,False,False,False,1797234,517015.6,3.476,1.064611726021949,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,238,sympy__sympy-15017,False,True,True,1129225,446222.6,2.531,0.36576706847137574,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,239,django__django-12419,False,True,True,1493751,273669.2,5.458,1.933841337697229,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,240,sympy__sympy-15345,False,False,False,756373,204083.4,3.706,0.1160876208686699,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,241,django__django-13363,False,True,True,1122536,278272.6,4.034,2.9047649222948437,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,242,sympy__sympy-15809,False,True,True,707107,286094.4,2.472,0.3551059321104232,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,243,django__django-13417,False,True,True,1358706,634018,2.143,0.9173719579468631,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,244,sympy__sympy-15875,False,False,False,705372,369514.6,1.909,0.21764550406054717,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,245,django__django-13741,False,True,True,673863,219974.2,3.063,1.4963113287608043,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,246,sympy__sympy-16450,False,True,True,1150220,389716,2.951,0.9563488925495204,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,247,django__django-13821,True,True,True,1344878,379851.6,3.541,1.6064527032002907,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,248,sympy__sympy-16766,False,True,True,1062450,665470,1.597,-0.1762741657524753,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,249,django__django-13933,False,True,True,1156016,323743,3.571,0.468121182644329,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,250,sympy__sympy-17139,False,True,True,1230544,358427.6,3.433,1.7669281548319866,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,251,django__django-14089,False,True,True,441256,226006.4,1.952,1.325043353151163,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,252,sympy__sympy-17655,False,True,True,1091029,365415.2,2.986,1.5856518308040677,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,253,django__django-14373,True,True,True,479159,394670.6,1.214,1.1304941401764814,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,254,sympy__sympy-19637,True,True,True,532579,310538.2,1.715,1.250469313649246,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,255,django__django-14493,False,True,True,603445,268174.2,2.25,1.6045920474885436,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,256,sympy__sympy-19954,False,True,True,2404963,285082.6,8.436,3.140033978109173,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,257,django__django-14539,False,False,False,2017063,750273.4,2.688,0.3761046273666327,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,258,sympy__sympy-21847,False,True,True,709077,374770.8,1.892,1.3298370458847917,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,259,django__django-14580,False,True,True,759937,224874.8,3.379,1.5301530628916722,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,260,sympy__sympy-22714,False,False,True,1513961,553938.8,2.733,2.320160953044507,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,261,django__django-14752,False,True,True,546890,203565.4,2.687,0.9997845237245373,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,262,sympy__sympy-23534,False,True,True,1651100,902475.4,1.83,1.34935008897525,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,263,django__django-14855,False,True,True,1576654,468741.6,3.364,2.195154503645199,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,264,sympy__sympy-24539,False,True,True,935869,382856.2,2.444,1.4431382329568883,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,265,django__django-14915,False,True,True,1189263,375219,3.17,1.5366405479146568,5
m8,5EF8nHthtDV3woo6oK2rNk3vGJ8ag6X1fzPMJuLhAZAMjmtc,266,sympy__sympy-24562,False,False,False,2565539,523120.6,4.904,1.2464193210615169,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,217,django__django-10880,False,True,True,1126760,412290.6,2.733,1.45923378914602,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,218,django__django-14999,False,False,False,1584982,663764.8,2.388,0.15211305810112458,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,219,django__django-10914,False,True,True,1229179,482880.4,2.546,1.468814490916429,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,220,django__django-15315,False,True,True,2228314,720514.6,3.093,1.576349633630787,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,221,django__django-11119,False,True,True,885390,280414.4,3.157,1.5687421907079648,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,222,django__django-15499,False,True,True,884630,418056.4,2.116,1.42391107539289,5
